交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2017/5/8,TXO,201707,10600,賣權,-,-,-,-,0,875,0,-,-,-,-,,一般
2017/5/8,TXO,201707,10800,買權,2.8,3,2.4,2.4,5,2.4,63,2.4,3,3.3,1.7,,一般
2017/5/8,TXO,201707,10800,賣權,-,-,-,-,0,1070,0,-,-,-,-,,一般
2017/5/8,TXO,201707,11000,買權,1.4,1.6,1.3,1.3,74,1.6,176,-,1.7,1.8,1,,一般
2017/5/8,TXO,201707,11000,賣權,-,-,-,-,0,1270,0,-,-,-,-,,一般
2017/5/8,TXO,201707,11200,買權,1.2,1.2,1.2,1.2,2,1,5,0.9,1.1,1.2,1,,一般
2017/5/8,TXO,201707,11200,賣權,-,-,-,-,0,1470,0,-,-,-,-,,一般
2017/5/8,TXO,201707,11400,買權,-,-,-,-,0,0.1,300,-,-,-,-,,一般
2017/5/8,TXO,201707,11400,賣權,-,-,-,-,0,1670,0,-,-,-,-,,一般
2017/5/8,TXO,201707,11600,買權,-,-,-,-,0,0.1,10,-,-,-,-,,一般
2017/5/8,TXO,201707,11600,賣權,-,-,-,-,0,1870,0,-,-,-,-,,一般
2017/5/8,TXO,201709,7200,買權,-,-,-,-,0,2310,25,-,-,-,-,,一般
2017/5/8,TXO,201709,7200,賣權,6.2,6.7,6.2,6.2,68,6.2,5157,6.2,6.4,72,5.8,,一般
2017/5/8,TXO,201709,7400,買權,-,-,-,-,0,2110,0,-,-,-,-,,一般
2017/5/8,TXO,201709,7400,賣權,8.3,8.3,8.1,8.1,5,8.1,1706,7.3,8.2,92,7.4,,一般
2017/5/8,TXO,201709,7600,買權,-,-,-,-,0,1920,5,-,-,-,-,,一般
2017/5/8,TXO,201709,7600,賣權,9.8,10.5,9.3,9.3,13,9.3,976,9,10.5,116,9.2,,一般
2017/5/8,TXO,201709,7800,買權,-,-,-,-,0,1720,5,-,-,-,-,,一般
2017/5/8,TXO,201709,7800,賣權,12,13,11.5,11.5,483,12,1946,11.5,15,148,11.5,,一般
2017/5/8,TXO,201709,8000,買權,-,-,-,-,0,1520,14,-,-,-,-,,一般
2017/5/8,TXO,201709,8000,賣權,17.5,17.5,15,15,90,15,1924,15,20,186,14.5,,一般
2017/5/8,TXO,201709,8200,買權,-,-,-,-,0,1330,2,-,-,-,-,,一般
2017/5/8,TXO,201709,8200,賣權,21,22.5,20.5,20.5,142,21.5,1496,21.5,114,236,20,,一般
2017/5/8,TXO,201709,8400,買權,-,-,-,-,0,1140,30,-,-,-,-,,一般
2017/5/8,TXO,201709,8400,賣權,30,32,28,28,361,29,2166,29.5,30,293,28,,一般
2017/5/8,TXO,201709,8600,買權,-,-,-,-,0,955,44,-,-,-,-,,一般
2017/5/8,TXO,201709,8600,賣權,44,47,43,43,216,44,1604,43,44,363,40.5,,一般
2017/5/8,TXO,201709,8800,買權,-,-,-,-,0,775,224,-,-,-,-,,一般
2017/5/8,TXO,201709,8800,賣權,63,70,62,62,101,64,1917,64,65,451,58,,一般
2017/5/8,TXO,201709,9000,買權,600,610,600,600,4,600,327,241,960,735,285,,一般
2017/5/8,TXO,201709,9000,賣權,96,102,94,94,111,96,1408,96,98,560,89,,一般
2017/5/8,TXO,201709,9200,買權,457,457,444,444,5,456,451,455,1410,580,203,,一般
2017/5/8,TXO,201709,9200,賣權,140,155,140,140,66,147,972,144,151,650,130,,一般
2017/5/8,TXO,201709,9400,買權,326,326,315,315,4,325,598,325,334,450,145,,一般
2017/5/8,TXO,201709,9400,賣權,212,220,202,202,67,212,879,212,215,715,191,,一般
2017/5/8,TXO,201709,9600,買權,226,233,211,211,46,222,1370,218,235,331,98,,一般
2017/5/8,TXO,201709,9600,賣權,314,314,305,305,4,305,334,300,308,870,251,,一般
2017/5/8,TXO,201709,9800,買權,136,147,131,131,70,141,2200,139,146,251,64,,一般
